,title,date,content
14,올 여름 무더위를 날려줄 캐치온 호러 무비 페스티벌 2021 호러영화추천 4편,2021.08.03.,특급영화구독서비스 캐치온이 무더위를 날려줄 호러 무비 페스티벌 2021를 개최한다. 올해도 변함없이 돌아온 캐치온의 호러 페스티벌로 영화제에 버금가는 영화 규모를 자랑한다. 누구나 한 번쯤 제목을 들어봤을...
15,[영화] 끝없는 사랑에 대한 탐구... 김종관 감독의 영화들,2021.08.13.,20년 가까이 사랑에 관한 영화를 만들고 있는 김종관 감독입니다. 김종관 감독의 연출은 굉장히 정적인데요. 그 가운데서 감정을 최대한 끌어내는 그런 장기를 가진 감독이기도 합니다. 어떤 스토리보다는 감성적인 영화...
16,"어디선가 누군가에 무슨 일이 생기면 틀림없이 나타난다 홍반장, 영화는 올드하구나!",2일 전,#영화리뷰 #어디선가누군가에게무슨일이생기면틀림없이나타난다홍반장 < 어디선가 누군가에 무슨 일이... 확실히 오래된 영화라 연출이나 스토리 전개방식은 올드하고 지루하다. 사실 내 기억으로도 이 영화 개봉...
17,마블영화에 출연한 한국배우들,2021.08.06.,오늘은 마블영화(MCU)에 출연했거나 앞으로 출연할 한국배우들에 대해서 간단히 알아보겠습니다. 논란의... 3.다니엘 헤니 엑스맨 울버린 에이전트 제로 출연전 부터 상당히 기대를 많이 했었는데 영화가 작품성 흥행성에서...
18,영화 예매 나눔 <21회>,17시간 전,"영화 예매 나눔 <21회차> _(윌스님 협의완료) - CGV 5매 / 롯데시네마 7매 : 1인 1매 제한, 임의 추첨 - 신청은 댓글로 예매정보를 남겨주세요 (날짜/영화/극장지점/시간/좌석번호) - 예매 가능한 모든 날짜 허용..."
19,2021년 8월 영화/드라마 짧은 후기,3일 전,"블랙위도우(롯데시네마)★★★★ --7월 22일 - 마블 영화는 배트맨(?) 이후로 처음 본다. 솔직히 이쪽 장르는... - 스케일 크고 볼거리가 많은 영화다. - 스칼릿 조핸슨의 액션 연기는 둘째치고 그냥 가만히 있어도 눈빛, 표정..."
20,언제 봐도 유쾌한 추억의 코미디 영화 추천 3,6일 전,집에만 있다 보니 자연스럽게 영화 채널 돌리는 게 취미가 되어 버렸는데요. 지난 주말 우연히 채널을 돌리다가 코미디 영화계의 명작 ‘두사부일체’가 하더라구요. 거의 20년 만에 봤는데도 이상하게 웃기고 보는 내내...
21,영화 인질 후기,2021.08.21.,조연배우들도 연기 잘해서 잼게봄 정민이형의 다른 영화에비해 명작은 절때 아니지만 딱 킬린타임용으론 좋은듯 그리고 유명배우 카메오로 나오는데 반갑더라 그나저나 주말이라그런가 영화티켓 한장에 14000원이누..
22,요즘 영화관람권 사는 재미에 빠져있습니다^^♥️,5일 전,"3사 영화관람권들♥️ 매주 안빠지고 영화관을 가지만 언젠가부터 글올리는게 귀찮아서 잘 안올리네요ㅋㅋㅋ 요즘에 영화관람권 모으는 재미에 빠졌어요ㅋㅋ 각 영화관람권, 특별관 관람권들 하나하나 사고 있는데..."
23,내사랑 영화,4일 전,추천영화 봤는데 영상도 너무 예쁘고 연기력은 말해뭐해고 너무 감동적이네요 실화라니 더 마음 아픈것도 있고요ㅠ 남자 주인공 뭐예요????너무 멋있어요 아~~~~남자 주인공 나오는 재밌는 영화 좀 추천해주세요...
24,영화 귀문 (개인적으로 본) 간단 후기 +_+,3일 전,"간단 후기 : 영화 귀문. 심덕근 감독님. CGV 영등포. 스크린X 관람. 이 영화 항상 2D 3D 4D까지는 봤어도 스크린X는 처음인 저는 내심 당일 예매지만, 기대를 하고 갔습니다. 상영이 내릴 듯 한 상영관 수라 다음주 평일도..."
25,영화 [인질] 간단평..,2021.08.19.,인질 배우 황정민 본인이 본인을 연기하여 올초 넷플릭스에서 공개된 <차인표>와 자연스레 비교되는 영화 입니다. 하지만 인질은 배우 황정민이 실제로 납치 되었다는 가정으로 영화적 서사가 진행되어 실상황을 보는듯한...
26,무더운 여름에 꼭 봐야 할 비평가들이 선정한 공포영화 순위 추천,2021.07.31.,폭염이 지속되는 날씨에 조금이나마 서늘하게 만들어줄 여름에 꼭 봐야 할 비평가들이 선정한 공포영화 순위를 너무 옛날 영화를 제외하고 5위 까지만 간단하게 소개합니다. 한 가지 아쉬운 점은 공포영화를...
27,패밀리맨 보셨습니까?(부제:오랜만의 영화 추천),2021.08.23.,"넷플릭스로 뭐 재밌는영화 없나? 뒤적거리다 미루고 미뤘던 패밀리맨을 봤습니다 옛날영화는 정말 내용도 좋고, 재밌는걸 알면서도 자극적인 내용 화려한 비주얼에 눈이 멀어 좀 처럼 재생버튼이 안눌리지요 그런데 보고..."
28,영화 올드 후기입니다,5일 전,나쁘진 않은 소재지만 결말 아쉽 영화보면서 통화 하는 아줌마 중간에 아줌마 두분이 들어오시길래 뭐지 하고 걍 보고 끝나니깐 2시50분 모가디슈 예매 했는데 시간 착각하셨더라구요ㅋㅋㅋㅋㅋ 영화 반편 공짜로...
29,영화 메기 보신분,2021.07.30.,제가 얼마전에 집에서 영화 메기를 보았습니다 독립영화중 평이 좋고 20대 여자추천 영화로 뜨길래 20대인 지인과 같이 보았는데 보구나서 그 지인은 별루였다고 하는거에요 저는 좋았거든요 지인은 독립영화가 쳠...
30,인생영화 또발견 '내사랑',2021.07.10.,샐리호킨스와 에단호크주연의 실화영화 내사랑 모드^^ 한국에는 제목이 내사랑이고 원제는 Maudie예요 어쩌다 찾은 영화지만 아름다운 마을과 모디 루이스의 예쁜 그림 구경 거기에 나이들어가는 에단호크를 보는 큰...
31,상영영화 중국 로코 <여름날 우리> 후기요,5일 전,우리나라 영화 <너의 결혼식> 의 리메이크 작품입니다. 개인적으로 로코장르를 좋아해서 안볼 수가 없었네요 ㅎㅎ 영화의 전체적인 플롯은 너의 결혼식과 같습니다. 내용을 알고 보는거니 진부할 수 있겠더라구요. 저는...
32,박평식평론가 평점 9점 영화(이건 찐),2021.08.15.,"만점영화는 없고 9점 10개, 8점은 약 130개 입니다. 못 본 영화를 올릴 순 없으니 본 것만 올릴게요. 전체 목록은 젤 밑에 첨부할게요! 여전히 싱싱한 플롯과 색채, 메시지 ★★★★☆ 별점 9개! 이건 꼭! 예상외로 평론가님은..."
33,"넷플릭스 영화 추천, 9월에 공개되는 신작 추천",4일 전,"9월 넷플릭스 신작 / 넷플릭스 영화 추천 1. All my life 실화를 바탕으로 한 영화인데요 로맨틱한 프로포즈로 결혼을 약속한 풋풋한 커플, 그런데 이 청춘남녀 앞에 놓인 첫번째 과제가 웨딩 준비도, 신혼집 마련도..."
34,영화 레미니센스 보고왔어요~,4일 전,영화 개봉일날 레미니센스 재밌게 보고왔어요~^^ 휴잭맨이 참 멋있게 나오는 영화같아요 ㅎㅎ 레베카 퍼거슨(여주인공)도 보면서 '와 너무 예쁘다~' 이 생각이 계속 들었어요 ㅎㅎ 인셉션이랑 약간은 비슷한 느낌인데 좀더...
35,이 영화 볼만한가요?.jpg,2021.08.01.,영화보면서 파리 구경이나 해볼까 생각하는데 그럭저럭ㅓ괜찮으면 보려고요
36,[드림걸즈]음악영화는 영화관에서!,2021.08.07.,"역시 음악영화는 음향좋은 영화관에서! 폭발하는 소울과 R&B 노래들을 원없이 감상할 수 있는 멋진 음악영화였습니다. 1960년대 가수의 꿈을 키워온 세 친구 에피, 디나 ,로렐이 우여곡절끝에 드림걸즈로 데뷔해서 성공..."
37,아메리칸 갱스터 영화 진짜 좋네요,2021.08.22.,갱스터 영화 장르 중 작년에 본 아이리시 맨 만큼 재미있게 봤네요 러닝타임 약간 길어서 지루할 수도 있다고 느껴질거 같은데 그런거 전혀 없었어요 이서진의 뉴욕뉴욕에서 서진이 형이 뉴욕 배경으로 펼쳐진 영화들...
38,"영화 [피닉스],[정글 크루즈],[방법 : 재차의] 간단 후기",2021.08.04.,정글 크루즈 디즈니 랜드의 어트랙션을 영화로 담은 작품입니다 정말 무난하고 안정하게 연출해서 디즈니 영화 답지만 설명이 너무 길고 잔가지가 많아 지루하게 느껴졌네요. 드웨인 존슨은 마동석 처럼 하나의 장르처럼...
39,혹시 페데리코 펠리니 영화 좋아하시는 분 계신가요?,2021.08.12.,"원래 영화 취향은 주관적인 거잖아요. 제 기준, 가장 영화다운 영화를 만드는 사람은 페데리코 펠리니라고 생각해 왔거든요. 전 원래 <카비리아의 밤>, 제 프로필 사진도 카비리아의 밤에 나오는 줄리에타 마시나의..."
40,영화 [랑종] 간단평..,2021.07.05.,"랑종 아마 많은분들이 기대를 많이 하고계실 영화라 생각듭니다. 랑종은 페이크 다큐멘터리 형식으로 호러장르의 장르적 공포감을 높게 연출해 보여줍니다. 영화는 태국의 이산 지역의 한 마을에서 ""바얀 신"" 을 섬기는..."
41,[영화 코다] 감동적이고 가슴 따뜻한 힐링음악영화,2021.08.22.,"네영카 당첨으로 영화 코다 시사회 보고왔습니다. 라라랜드음악감독이 참여하고,오렌지 이즈 뉴 블랙의... 힐링영화였어요. 가슴이 먹먹해지고, 엔딩 크레딧 올라갈때까지 영화 코다에서 헤어나오질 못해서 집가는 길에..."
42,영화 코다 스피드쿠폰 8.27(금) 3시오픈,5일 전,http://m.cgv.co.kr/WebApp/EventNotiV4/Event/EventZone.aspx?idx=3255 영화 코다 8.27(금) CGV스피드 쿠폰 3시에 오픈됩니다.
43,이번주 개봉영화 평가 & 자유토크 (8/25~8/26개봉) 귀문 레미니센스 여름날 우리 캐논볼 자마,5일 전,"덧글로 영화에 대한 자유토크, 의견 멘트 남겨주세요 :) 귀문 감독 심덕근 출연 김강우, 김소혜, 이정형... 26. 귀문 레미니센스 여름날 우리 캐논볼 자마 개봉작 영화 평점 별점 후기 리뷰 관람평 평가 영화평 네영카"
44,메가박스 영화 대리예매 해드립니다! 1매 8000원부터!,2일 전,"개인거래(판매), 판매중, 가격 123,456원, 직접결제, 메가박스 영화 대리예매 해드립니다! 1매 8000원부터!, 메가박스 영화 예매 평일 2인 16000원 (1인 8000원) 주말 2인 18000원 (1인 9000원) 로열석 2인 19000원 (1인..."
